List of Items,,,,,
Name,Sale Price-B,Sale Price,Description 1,Alias,Print Name
.,0.00,0.00,,,.
0.5 mtr Lpg Hose,48.00,45.00,,,0.5 mtr Lpg Hose
020 bush,40.00,35.00,,butterfly 020 bush,butterfly 020 bush
034 copper bush,16.00,15.00,,,034 copper bush
039 Motor Bush,22.00,20.00,,Gopi Motor Bush,039 Motor Bush
048 msp bush,26.00,25.00,,,048 msp bush
048 rg bush,18.00,17.00,,048 real gold bush,048 real gold bush
048 spl bush,22.00,20.00,,,048 spl bush
048*1 msp bush,28.00,26.00,,,048*1 msp bush
048*2 msp bush,28.00,26.00,,,048*2 msp bush
048*3 msp bush,28.00,26.00,,,048*3 msp bush
048*4 msp bush,28.00,26.00,,,048*4 msp bush
089  19mm Bush  Sp,22.00,20.00,,,089  19mm Bush  Sp
089 16mm rg bush,22.00,19.00,,089 16mm real gold bush,089 16mm real gold bush
089 16mm spl bush,32.00,29.00,,,089 16mm spl bush
089 22mm rg bush,25.00,23.00,,089 22mm real gold bush,089 22mm real gold bush
089 22mm spl bush,37.00,33.00,,,089 22mm spl bush
089 Bush Local,20.00,18.00,,,089 Bush Local
089 cut msp bush,42.00,40.00,,089 19mm msp bush,089 19mm msp bush
089 cut rg bush,27.00,24.00,,089 19mm real gold bush,089 19mm real gold bush
089 cut spl bush,33.00,30.00,,089 19mm spl bush,089 19mm spl bush
089 Jar Bush Sp,24.00,22.00,,089 Sp Bush,089 Jar Bush Sp
089 long msp bush,70.00,65.00,,,089 long msp bush
089 long spl bush,50.00,45.00,,,089 long spl bush
089 msp bush,50.00,47.00,,089 25mm msp bush,089 25mm msp bush
089 Nikam,43.00,40.00,,,089 Nikam
089 rg bush,30.00,27.00,,089 25mm real gold bush,089 25mm real gold bush
089 S.s Punch,230.00,220.00,,,089 S.s Punch
089 spl bush,38.00,34.00,,089 25mm spl bush,089 25mm spl bush
1 Feet Dosa Burner challenger,390.00,380.00,,1 Ft Rv  burner,1 Feet Dosa Burner challenger
1 ft BPBP Srk brass nut,60.00,55.00,,,1 ft BPBP Srk brass nut
1 ft BPBP Srk ms nut,50.00,45.00,,,1 ft BPBP Srk ms nut
1 ft BPCP Srk brass nut,72.00,67.00,,,1 ft BPCP Srk brass nut
1 ft Copper Pipe,82.00,78.00,,,1 ft Copper Pipe
1 ft CPCP Srk brass nut,85.00,79.00,,,1 ft CPCP Srk brass nut
1 ft flx BPBP brass nut,75.00,73.00,,1 ft flexable BPBP brass nut,1 ft flexable BPBP brass nut
1 ft hy blk BPBP,105.00,97.00,,1 ft Hydrolic black BPBP,1 ft Hydrolic black BPBP
1 ft hy blk BPCP,117.00,109.00,,1 ft hydrolic black BPCP,1 ft hydrolic black BPCP
1 ft hy blk CPCP,129.00,121.00,,1 ft hydrolic black CPCP,1 ft hydrolic black CPCP
